swept_param_id,swept_param_label,swept_param_group,param_value,param_value_str,in_steps,in_time_step,in_range_noise_act,in_az_noise_act,in_dop_noise_act,in_process_noise_q,in_range_noise_gss,in_az_noise_gss,in_dop_noise_gss,in_rangex_noise_gss,in_rangey_noise_gss,in_init_range,in_init_x,in_init_y,in_init_vx,in_init_vy,in_P0_range,in_P0_x,in_P0_y,in_P0_vx,in_P0_vy,in_sensor_range0,in_sensor_az0,in_sensor_speed,in_sensor_accel,in_sensor_yaw,in_sensor_yawrate,in_sensor_yawraterate,in_target_range0,in_target_az0,in_target_speed,in_target_accel,in_target_yaw,in_target_yawrate,in_target_yawraterate,in_sensor_turnrate,in_target_turnrate,in_state_meas,in_sensor_traj,in_target_traj,rmse_rangex,rmse_rangey,rmse_vx,rmse_vy,rmse_azimuth,run_failed
P02,Time step (s),Simulation,0.9999999999999999,0.9999999999999999,1000,0.9999999999999999,0.1,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.170429301766558,2.3419551604265667,0.024139371059435158,0.06325071174763573,0.7156038017214874,False
P02,Time step (s),Simulation,1.0999999999999999,1.0999999999999999,1000,1.0999999999999999,0.1,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.185003692118447,2.3600456096091165,0.027444205443208303,0.06320151882210481,0.7164566278218518,False
P02,Time step (s),Simulation,1.2,1.2,1000,1.2,0.1,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.199374201030216,2.3849423672197023,0.032013937674795365,0.06681931254533979,0.7174605923223624,False
P02,Time step (s),Simulation,1.3,1.3,1000,1.3,0.1,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.217577080139543,2.412540688429562,0.03544100489923323,0.060972247226623005,0.7195478135769039,False
P02,Time step (s),Simulation,1.4,1.4,1000,1.4,0.1,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.232973917570101,2.440467848640229,0.04523729289232392,0.06231586262927417,0.7208815539074491,False
P02,Time step (s),Simulation,1.5,1.5,1000,1.5,0.1,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.252876859071904,2.4691628379521138,0.05340912103127713,0.07034327664279183,0.7227431277542529,False
P02,Time step (s),Simulation,1.5999999999999999,1.5999999999999999,1000,1.5999999999999999,0.1,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.268794149753584,2.499129900667031,0.06352385979986216,0.07375000858835032,0.7244581383574437,False
P02,Time step (s),Simulation,1.7,1.7,1000,1.7,0.1,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.287496856959166,2.5307483436415183,0.07926476467803806,0.07473150165909843,0.7262566938382058,False
P02,Time step (s),Simulation,1.8,1.8,1000,1.8,0.1,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.318721061415594,2.5701675481369715,0.09379616261307223,0.08003999211967132,0.7306574531808532,False
P02,Time step (s),Simulation,1.9,1.9,1000,1.9,0.1,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.34327303551035,2.6137187632621144,0.11336330602028676,0.0853629824598354,0.7341333198022727,False
